case_name,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y
office1,4.76,2.18,1.255,180.0,3.285,3.16,1.255,270.0,1.835,3.16,1.255,270.0,1.435,1.241,1.255,90.0,2.885,1.241,1.255,90.0,6.0,5.5
office10,1.25,3.02,1.255,0.0,3.125,3.96,1.255,270.0,4.575,3.96,1.255,270.0,4.175,2.04,1.255,90.0,2.725,2.04,1.255,90.0,7.0,6.0
office15,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0
office16,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0
office2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5
office22,3.57,4.235,1.255,270.0,5.02,4.235,1.255,270.0,2.73,2.315,1.255,90.0,4.18,2.315,1.255,90.0,5.63,2.315,1.255,90.0,8.5,6.5
office28,1.265,3.82,1.255,0.0,2.93,2.84,1.255,90.0,4.38,2.84,1.255,90.0,4.42,4.76,1.255,270.0,2.97,4.76,1.255,270.0,9.5,6.0
office3,5.016,0.94,1.255,0.0,5.016,2.39,1.255,0.0,5.016,3.84,1.255,0.0,0.985,1.99,1.255,180.0,0.985,0.54,1.255,180.0,6.0,5.5
office7,1.266,2.29,1.255,0.0,3.14,3.059,1.255,270.0,4.59,3.059,1.255,270.0,4.21,1.141,1.255,90.0,2.76,1.141,1.255,90.0,9.0,4.0
office4,5.034,4.515,1.255,90.0,3.59,4.515,1.255,90.0,2.54,0.984,1.255,270.0,3.99,0.984,1.255,270.0,5.44,0.984,1.255,270.0,6.0,5.5
office5,4.19,3.575,1.255,90.0,2.74,3.575,1.255,90.0,1.31,1.266,1.255,90.0,2.76,1.266,1.255,90.0,4.21,1.266,1.255,90.0,6.0,5.5
office6,4.734,0.81,1.255,180.0,4.734,2.26,1.255,180.0,4.734,3.71,1.255,180.0,2.984,2.26,1.255,180.0,2.984,0.81,1.255,180.0,6.0,5.5
office8,0.56,3.016,1.255,90.0,2.01,3.016,1.255,90.0,0.94,0.984,1.255,270.0,2.39,0.984,1.255,270.0,3.84,0.984,1.255,270.0,9.0,4.0
office9,1.266,2.39,1.255,0.0,1.266,0.94,1.255,0.0,3.016,2.39,1.255,0.0,3.016,0.94,1.255,0.0,4.766,0.94,1.255,0.0,9.0,4.0
office14,1.91,3.166,1.255,90.0,3.36,3.166,1.255,90.0,1.91,1.266,1.255,90.0,3.36,1.266,1.255,90.0,4.81,1.266,1.255,90.0,7.0,6.0
