casename,num_drop,volume[ml],RoI
office10_0_0_A,7927,6.46461485e-05,188.73809523809524
office10_0_164_aout_A,6027,8.26575706e-05,143.5
office10_0_164_bout_A,3087,1.85562112e-05,73.5
office10_0_246_aout_A,6587,0.000126452331,156.83333333333334
office10_0_246_bout_A,3343,5.02015537e-05,79.5952380952381
office10_0_82_aout_A,6191,1.69687864e-05,147.4047619047619
office10_0_82_bout_A,5709,1.74121706e-05,135.92857142857142
office10_360_0_A,8689,9.54305069e-05,206.88095238095238
office10_360_164_aout_A,5780,1.86117541e-05,137.61904761904762
office10_360_164_bout_A,2312,3.92026268e-05,55.04761904761905
office10_360_246_aout_A,6643,3.95130846e-05,158.16666666666666
office10_360_246_bout_A,4897,6.84810075e-05,116.5952380952381
office10_360_82_aout_A,3651,8.25474999e-05,86.92857142857143
office10_360_82_bout_A,3957,1.22491701e-05,94.21428571428571
office10_660_0_A,5800,5.25896976e-05,138.0952380952381
office10_660_164_aout_A,6775,5.96442442e-05,161.3095238095238
office10_660_164_bout_A,6430,7.27377119e-05,153.0952380952381
office10_660_246_aout_A,7825,0.00010396896,186.3095238095238
office10_660_246_bout_A,1587,1.63329514e-05,37.785714285714285
office10_660_82_aout_A,7427,8.9153451e-05,176.83333333333334
office10_660_82_bout_A,5008,6.50038201e-05,119.23809523809524
office10_960_0_A,6998,0.000145158556,166.61904761904762
office10_960_164_aout_A,7032,3.59688129e-05,167.42857142857142
office10_960_164_bout_A,5621,6.8776164e-05,133.83333333333334
office10_960_246_aout_A,7835,0.00011913645,186.54761904761904
office10_960_246_bout_A,7021,7.82551942e-05,167.16666666666666
office10_960_82_aout_A,5567,8.69464711e-05,132.54761904761904
office10_960_82_bout_A,6751,0.000108505323,160.73809523809524
office10_0_0_B,4710,8.83721295e-05,112.14285714285714
office10_0_164_aout_B,5435,7.82628049e-05,129.4047619047619
office10_0_164_bout_B,8197,6.91981695e-05,195.16666666666666
office10_0_246_aout_B,8345,7.93642321e-05,198.6904761904762
office10_0_246_bout_B,8366,8.57119521e-05,199.1904761904762
office10_0_82_aout_B,7280,8.81951346e-05,173.33333333333334
office10_0_82_bout_B,7140,9.2959388e-05,170.0
office10_360_0_B,3362,5.08968296e-05,80.04761904761905
office10_360_164_aout_B,1308,4.20388133e-05,31.142857142857142
office10_360_164_bout_B,4498,2.24671567e-05,107.0952380952381
office10_360_246_aout_B,720,5.09272604e-06,17.142857142857142
office10_360_246_bout_B,5973,7.44605422e-05,142.21428571428572
office10_360_82_aout_B,1126,5.58315842e-05,26.80952380952381
office10_360_82_bout_B,3761,3.33898824e-05,89.54761904761905
office10_660_0_B,1970,3.49213842e-05,46.904761904761905
office10_660_164_aout_B,6513,7.45684665e-05,155.07142857142858
office10_660_164_bout_B,4142,2.57546926e-05,98.61904761904762
office10_660_246_aout_B,2821,8.9693036e-05,67.16666666666667
office10_660_246_bout_B,2478,3.31567244e-05,59.0
