casename,num_drop,volume[ml],RoI
office4_0_0,4071.0,4.660269003999999e-05,123.36363636363637
office4_0_164_aout,3055.6,4.4314317700000005e-05,92.5939393939394
office4_0_164_bout,4939.6,6.113789566e-05,149.6848484848485
office4_0_246_aout,5151.8,5.0957718479999996e-05,156.11515151515152
office4_0_246_bout,3750.4,3.964425304e-05,113.64848484848486
office4_0_82_aout,4174.0,6.042659918000001e-05,126.48484848484847
office4_0_82_bout,4149.8,3.0788091216e-05,125.75151515151515
office4_360_0,3715.6,5.412748214e-05,112.5939393939394
office4_360_164_aout,3693.8,4.9834043240000004e-05,111.93333333333332
office4_360_164_bout,3888.4,4.9823432339999996e-05,117.83030303030304
office4_360_246_aout,3911.0,4.006640884e-05,118.51515151515153
office4_360_246_bout,3803.4,4.215143524e-05,115.25454545454545
office4_360_82_aout,4546.4,5.26423464e-05,137.76969696969698
office4_360_82_bout,3868.6,4.2649519844e-05,117.23030303030305
office4_660_0,4120.4,4.5812004120000003e-05,124.86060606060605
office4_660_164_aout,4472.6,4.881732894e-05,135.53333333333333
office4_660_164_bout,5086.2,4.0469444119999994e-05,154.12727272727275
office4_660_246_aout,3942.2,4.0960688419999996e-05,119.46060606060605
office4_660_246_bout,4845.2,6.5884173e-05,146.8242424242424
office4_660_82_aout,4130.8,4.583262488e-05,125.17575757575757
office4_660_82_bout,3152.6,3.49309641e-05,95.53333333333333
office4_960_0,3929.2,4.040400652000001e-05,119.06666666666668
office4_960_164_aout,5300.6,5.9919044339999994e-05,160.62424242424242
office4_960_164_bout,4713.8,3.2871949219999996e-05,142.84242424242424
office4_960_246_aout,4434.6,4.717773772e-05,134.3818181818182
office4_960_246_bout,5159.4,5.758564876e-05,156.34545454545454
office4_960_82_aout,4793.6,5.044708152e-05,145.26060606060608
office4_960_82_bout,4520.8,5.119247654e-05,136.99393939393937
office3_0_0,4463.8,4.6502669259999995e-05,135.26666666666665
office3_0_164_aout,4172.2,5.051252738000001e-05,126.43030303030305
office3_0_164_bout,4787.2,4.90682374e-05,145.06666666666666
office3_0_246_aout,4740.8,4.4179016560000006e-05,143.66060606060606
office3_0_246_bout,3578.6,4.64436984e-05,108.44242424242425
office3_0_82_aout,4097.6,4.3699925299999995e-05,124.16969696969697
office3_0_82_bout,3609.6,3.7546338719999995e-05,109.38181818181818
office3_360_0,4908.2,4.75901419e-05,148.73333333333335
office3_360_164_aout,4246.2,5.5470364899999996e-05,128.6727272727273
office3_360_164_bout,4277.6,4.8009523040000004e-05,129.62424242424242
office3_360_246_aout,3727.0,4.723182464e-05,112.93939393939392
office3_360_246_bout,4451.4,5.012204058e-05,134.8909090909091
office3_360_82_aout,4048.4,6.151876576000001e-05,122.67878787878787
office3_360_82_bout,4035.2,5.7084824219999994e-05,122.27878787878788
office3_660_0,4130.0,4.48400462e-05,125.15151515151516
office3_660_164_aout,3137.6,5.707132114e-05,95.07878787878788
office3_660_164_bout,3804.8,5.065985862e-05,115.2969696969697
office3_660_246_aout,3794.2,7.634302100000001e-05,114.97575757575757
office3_660_246_bout,3322.2,4.23476504e-05,100.67272727272727
office3_660_82_aout,3989.6,7.425407884000001e-05,120.8969696969697
office3_660_82_bout,4876.8,4.327778296e-05,147.7818181818182
office3_960_0,4009.0,6.449410942000001e-05,121.48484848484847
office3_960_164_aout,4061.2,5.691400948e-05,123.06666666666665
office3_960_164_bout,3573.8,6.409526357999999e-05,108.2969696969697
office3_960_246_aout,3587.2,6.912724784e-05,108.7030303030303
office3_960_246_bout,2934.4,5.696299996e-05,88.92121212121212
office3_960_82_aout,4251.2,6.479853398e-05,128.8242424242424
office3_960_82_bout,3890.8,4.52307613e-05,117.9030303030303
office14_0_0,5116.2,4.70568244e-05,121.81428571428572
office14_0_164_aout,5205.0,4.5721639599999996e-05,123.92857142857142
office14_0_164_bout,4557.8,6.0399864040000005e-05,108.51904761904761
office14_0_246_aout,3891.2,5.3999584619999996e-05,92.64761904761905
office14_0_246_bout,5322.4,7.440894612000001e-05,126.72380952380952
office14_0_82_aout,5329.4,4.89387727e-05,126.89047619047616
office14_0_82_bout,5913.2,6.208442646e-05,140.7904761904762
office14_360_0,5007.4,6.63128216e-05,119.22380952380952
office14_360_164_aout,5715.8,5.1210719160000003e-05,136.09047619047618
office14_360_164_bout,4029.4,5.017057466e-05,95.93809523809523
office14_360_246_aout,5332.2,5.025768732e-05,126.95714285714284
office14_360_246_bout,5542.6,6.595537342e-05,131.96666666666664
office14_360_82_aout,5476.2,5.096854656e-05,130.38571428571427
office14_360_82_bout,5519.4,5.644802368e-05,131.41428571428574
office14_660_0,5027.8,4.669594638e-05,119.7095238095238
office14_660_164_aout,5056.2,5.118701228e-05,120.38571428571429
office14_660_164_bout,5314.4,5.114400592e-05,126.53333333333335
office14_660_246_aout,4756.4,4.199658106e-05,113.24761904761904
office14_660_246_bout,5505.0,8.80114072e-05,131.07142857142858
office14_660_82_aout,5448.8,6.4689894014e-05,129.73333333333335
office14_660_82_bout,4764.2,4.6074433159999995e-05,113.43333333333332
office14_960_0,5831.0,7.139837518e-05,138.83333333333331
office14_960_164_aout,4731.8,5.1400265900000005e-05,112.66190476190476
office14_960_164_bout,5193.8,6.17985561e-05,123.66190476190476
office14_960_246_aout,6205.4,7.036124398e-05,147.74761904761903
office14_960_246_bout,6097.4,6.320391121999999e-05,145.17619047619047
office14_960_82_aout,4526.6,5.7246928126000006e-05,107.77619047619048
office14_960_82_bout,6234.2,7.148511728e-05,148.43333333333334
office10_0_0,6009.6,4.746968988e-05,143.08571428571426
office10_0_164_aout,6367.6,6.863742094e-05,151.6095238095238
office10_0_164_bout,4994.6,5.823543360000001e-05,118.91904761904762
office10_0_246_aout,7681.2,6.66360661e-05,182.88571428571427
office10_0_246_bout,5683.4,6.237559282000001e-05,135.31904761904764
office10_0_82_aout,5767.0,5.256632174e-05,137.3095238095238
office10_0_82_bout,7199.2,7.198724674e-05,171.40952380952382
office10_360_0,5720.4,4.7822956e-05,136.2
office10_360_164_aout,4239.2,5.06891949e-05,100.93333333333331
office10_360_164_bout,3969.2,3.2758321786e-05,94.5047619047619
office10_360_246_aout,5014.8,4.6468525687999996e-05,119.4
office10_360_246_bout,5928.2,6.443784617999999e-05,141.14761904761906
office10_360_82_aout,3342.8,5.345675382000001e-05,79.5904761904762
office10_360_82_bout,3879.6,2.9684834040000003e-05,92.37142857142857
office10_660_0,2332.6,2.6466847339999998e-05,55.53809523809523
office10_660_164_aout,3278.4,3.384672254e-05,78.05714285714286
office10_660_164_bout,3334.8,2.9832529055999993e-05,79.4
office10_660_246_aout,4652.2,7.732764238e-05,110.76666666666665
office10_660_246_bout,2727.6,2.6232110932000004e-05,64.94285714285715
office10_660_82_aout,3644.8,2.6568397326000006e-05,86.78095238095239
