casename,num_drop,volume[ml],RoI
office10_0_0,2827.2,2.345284702e-05,67.31428571428572
office10_0_164_aout,5638.8,4.1238070460000004e-05,134.25714285714284
office10_0_164_bout,4833.8,4.139485518e-05,115.09047619047621
office10_0_246_aout,6439.4,3.21637268e-05,153.31904761904764
office10_0_246_bout,5594.4,4.23273319e-05,133.2
office10_0_82_aout,4130.4,3.337718662e-05,98.34285714285714
office10_0_82_bout,4989.6,4.208584778e-05,118.8
office10_360_0,3771.4,2.4948430466e-05,89.79523809523809
office10_360_164_aout,2152.0,3.259230798e-05,51.23809523809524
office10_360_164_bout,2127.0,1.9241997954e-05,50.642857142857146
office10_360_246_aout,2562.8,2.766550697e-05,61.01904761904761
office10_360_246_bout,3084.8,4.773701774e-05,73.44761904761904
office10_360_82_aout,1855.4,3.114739119e-05,44.17619047619047
office10_360_82_bout,2467.6,2.0251593099999997e-05,58.75238095238095
office10_660_0,1064.2,1.3132921612e-05,25.338095238095235
office10_660_164_aout,1823.6,1.475704934e-05,43.41904761904762
office10_660_164_bout,2316.4,2.1966787470000004e-05,55.15238095238095
office10_660_246_aout,3020.8,4.9730366372e-05,71.92380952380952
office10_660_246_bout,1478.8,1.3430792576e-05,35.20952380952381
office10_660_82_aout,1676.2,1.2658063679999999e-05,39.909523809523805
office10_660_82_bout,1644.8,2.010176178e-05,39.16190476190476
office10_960_0,3507.6,3.3055628599999995e-05,83.51428571428572
office10_960_164_aout,3580.0,3.062095894e-05,85.23809523809523
office10_960_164_bout,3193.2,4.208447244e-05,76.02857142857144
office10_960_246_aout,3710.8,3.88402599e-05,88.35238095238095
office10_960_246_bout,4148.2,6.107098568e-05,98.76666666666668
office10_960_82_aout,3375.8,5.7964276584e-05,80.37619047619049
office10_960_82_bout,3670.8,5.778999574e-05,87.4
office22_0_0,2752.6,2.0020694512e-05,49.820814479638
office22_0_164_aout,2920.0,1.5915817848e-05,52.85067873303167
office22_0_164_bout,2557.0,2.8835534994e-05,46.280542986425345
office22_0_246_aout,3187.8,3.126022276e-05,57.69773755656108
office22_0_246_bout,3719.8,2.797122398e-05,67.32669683257919
office22_0_82_aout,3357.2,2.1344434940000002e-05,60.76380090497737
office22_0_82_bout,3603.6,2.2021476600000003e-05,65.2235294117647
