casename,num_drop,volume[ml],RoI
office9_0_0_A,4499,4.29652173e-05,124.97222222222223
office9_0_82_aout_A,4666,4.81990355e-05,129.61111111111111
office9_0_82_bout_A,6537,4.37847157e-05,181.58333333333334
office9_0_164_aout_A,6147,5.99510749e-05,170.75
office9_0_164_bout_A,4461,5.39028297e-05,123.91666666666667
office9_0_246_aout_A,5871,7.20329481e-05,163.08333333333334
office9_0_246_bout_A,5533,7.0542068e-05,153.69444444444446
office9_360_0_A,5247,5.32698068e-05,145.75
office9_360_82_aout_A,4345,3.70410089e-05,120.69444444444444
office9_360_82_bout_A,6088,5.79075204e-05,169.11111111111111
office9_360_164_aout_A,6438,6.5195447e-05,178.83333333333334
office9_360_164_bout_A,6426,8.18044791e-05,178.5
office9_360_246_aout_A,6610,5.4301825e-05,183.61111111111111
office9_360_246_bout_A,7177,8.85308255e-05,199.36111111111111
office9_660_0_A,6690,7.63447533e-05,185.83333333333334
office9_660_82_aout_A,7504,7.67491656e-05,208.44444444444446
office9_660_82_bout_A,5959,6.46943954e-05,165.52777777777777
office9_660_164_aout_A,6738,5.76296115e-05,187.16666666666666
office9_660_164_bout_A,8459,9.78620665e-05,234.97222222222223
office9_660_246_aout_A,5040,4.13421621e-05,140.0
office9_660_246_bout_A,7858,8.17041509e-05,218.27777777777777
office9_960_0_A,6831,7.03257174e-05,189.75
office9_960_82_aout_A,6064,5.90779637e-05,168.44444444444446
office9_960_82_bout_A,6473,9.26694629e-05,179.80555555555554
office9_960_164_aout_A,5952,7.74506116e-05,165.33333333333334
office9_960_164_bout_A,7828,0.000100119199,217.44444444444446
office9_960_246_aout_A,6793,4.16032635e-05,188.69444444444446
office9_960_246_bout_A,7649,8.41622605e-05,212.47222222222223
office9_0_0_B,3859,4.58573159e-05,107.19444444444444
office9_0_82_aout_B,4690,4.03330014e-05,130.27777777777777
office9_0_82_bout_B,4114,4.16808944e-05,114.27777777777777
office9_0_164_aout_B,6385,5.70921475e-05,177.36111111111111
office9_0_164_bout_B,5140,4.7700807e-05,142.77777777777777
office9_0_246_aout_B,2507,2.95045611e-05,69.63888888888889
office9_0_246_bout_B,2745,2.89734944e-05,76.25
office9_360_0_B,6694,4.1881518e-05,185.94444444444446
office9_360_82_aout_B,6174,3.52114221e-05,171.5
office9_360_82_bout_B,6163,3.76128737e-05,171.19444444444446
office9_360_164_aout_B,6153,4.57653732e-05,170.91666666666666
office9_360_164_bout_B,6699,5.59765904e-05,186.08333333333334
office9_360_246_aout_B,6504,6.89746084e-05,180.66666666666666
office9_360_246_bout_B,6744,5.24149291e-05,187.33333333333334
office9_660_0_B,6249,5.58424217e-05,173.58333333333334
office9_660_82_aout_B,6316,4.9699418e-05,175.44444444444446
office9_660_82_bout_B,5322,5.20375288e-05,147.83333333333334
office9_660_164_aout_B,5003,4.42645323e-05,138.97222222222223
office9_660_164_bout_B,6476,4.96682551e-05,179.88888888888889
office9_660_246_aout_B,6927,5.02047587e-05,192.41666666666666
office9_660_246_bout_B,3081,3.41702762e-05,85.58333333333333
office9_960_0_B,6871,6.76389536e-05,190.86111111111111
office9_960_82_aout_B,6895,6.19231141e-05,191.52777777777777
office9_960_82_bout_B,7395,7.18890369e-05,205.41666666666666
office9_960_164_aout_B,8128,8.49831995e-05,225.77777777777777
office9_960_164_bout_B,6096,7.796305e-05,169.33333333333334
office9_960_246_aout_B,7603,4.37538838e-05,211.19444444444446
office9_960_246_bout_B,8042,0.000104787257,223.38888888888889
office9_0_0_C,869,6.26535621e-06,24.13888888888889
office9_0_82_aout_C,703,5.36149491e-06,19.52777777777778
office9_0_82_bout_C,481,2.94261736e-06,13.36111111111111
office9_0_164_aout_C,578,1.41876376e-06,16.055555555555557
office9_0_164_bout_C,394,9.73564624e-07,10.944444444444445
office9_0_246_aout_C,4250,0.000123039063,118.05555555555556
office9_0_246_bout_C,1347,7.05336606e-06,37.416666666666664
office9_360_0_C,3216,1.76221674e-05,89.33333333333333
office9_360_82_aout_C,1820,2.23922907e-05,50.55555555555556
office9_360_82_bout_C,1680,1.24129747e-05,46.666666666666664
office9_360_164_aout_C,2155,1.18227381e-05,59.861111111111114
office9_360_164_bout_C,1524,2.08833044e-05,42.333333333333336
office9_360_246_aout_C,4542,6.80757512e-05,126.16666666666667
office9_360_246_bout_C,3323,2.23158095e-05,92.30555555555556
office9_660_0_C,3527,5.71784512e-05,97.97222222222223
office9_660_82_aout_C,1554,1.92587704e-05,43.166666666666664
office9_660_82_bout_C,1970,1.01709893e-05,54.72222222222222
office9_660_164_aout_C,3876,3.76189237e-05,107.66666666666667
office9_660_164_bout_C,2676,2.97280403e-05,74.33333333333333
office9_660_246_aout_C,4081,8.61894077e-05,113.36111111111111
office9_660_246_bout_C,2254,1.82084113e-05,62.611111111111114
office9_960_0_C,5110,8.43431408e-05,141.94444444444446
office9_960_82_aout_C,5759,0.000118562304,159.97222222222223
office9_960_82_bout_C,5020,0.000110546018,139.44444444444446
office9_960_164_aout_C,2186,3.99798264e-05,60.72222222222222
office9_960_164_bout_C,4078,3.20370891e-05,113.27777777777777
office9_960_246_aout_C,5114,3.13589007e-05,142.05555555555554
office9_960_246_bout_C,5703,8.01281785e-05,158.41666666666666
office9_0_0_D,4205,3.6776928e-05,116.80555555555556
office9_0_82_aout_D,3332,2.15821692e-05,92.55555555555556
office9_0_82_bout_D,5219,4.33213136e-05,144.97222222222223
office9_0_164_aout_D,4726,3.18330603e-05,131.27777777777777
office9_0_164_bout_D,5154,4.87772741e-05,143.16666666666666
office9_0_246_aout_D,6519,7.87873214e-05,181.08333333333334
office9_0_246_bout_D,4931,3.22638189e-05,136.97222222222223
office9_360_0_D,4651,2.8704957e-05,129.19444444444446
office9_360_82_aout_D,5639,3.5052406e-05,156.63888888888889
office9_360_82_bout_D,4347,4.54441833e-05,120.75
office9_360_164_aout_D,3926,2.90800472e-05,109.05555555555556
office9_360_164_bout_D,3212,3.33717835e-05,89.22222222222223
office9_360_246_aout_D,4176,5.94839585e-05,116.0
office9_360_246_bout_D,4851,3.63441432e-05,134.75
office9_660_0_D,4345,3.58662546e-05,120.69444444444444
office9_660_82_aout_D,2494,3.66828135e-05,69.27777777777777
office9_660_82_bout_D,3407,2.78183215e-05,94.63888888888889
office9_660_164_aout_D,2408,1.3158915e-05,66.88888888888889
office9_660_164_bout_D,3886,4.32548222e-05,107.94444444444444
office9_660_246_aout_D,4744,0.000114541574,131.77777777777777
office9_660_246_bout_D,3491,3.39685721e-05,96.97222222222223
office9_960_0_D,3815,5.27772208e-05,105.97222222222223
office9_960_82_aout_D,4148,5.25150062e-05,115.22222222222223
office9_960_82_bout_D,3725,3.86449065e-05,103.47222222222223
office9_960_164_aout_D,2318,5.99038394e-05,64.38888888888889
office9_960_164_bout_D,3750,3.20160398e-05,104.16666666666667
