case_name,diffusivity,RoI
office1_960_164_aout,0.52,0.10651274
office1_0_205_aout,0.21727273,0.2673045
office1_660_41_bout,0.32969698,0.1503565
office1_960_82_bout,0.46848485,0.16740423
office1_960_205_bout,0.56939393,0.1019085
office1_960_246_bout,0.5648485,0.1333698
office1_660_164_bout,0.4109091,0.1380297
office1_960_205_aout,0.4769697,0.11404612
office1_0_123_bout,0.14030303,0.4001643
office1_960_123_aout,0.5678788,0.1415073
office1_0_164_bout,0.1560606,0.35834783
office1_0_82_aout,0.15727273,0.36746898
office1_660_205_bout,0.31575757,0.1875967
office1_0_123_aout,0.17878787,0.3279548
office1_0_41_bout,0.13939394,0.4055949
office1_960_82_aout,0.53515154,0.11937359
office1_0_246_bout,0.15060607,0.39669412
office1_0_0,0.1630303,0.39061028
office1_0_82_bout,0.15,0.43100977
office1_660_246_bout,0.3348485,0.16075352
office1_0_246_aout,0.19909091,0.26977396
office1_660_164_aout,0.36848485,0.1430364
office1_0_205_bout,0.14878789,0.40546232
office1_660_123_bout,0.3778788,0.15299687
office1_660_246_aout,0.35090908,0.18895347
office1_960_123_bout,0.53818184,0.14576547
office1_660_82_bout,0.3769697,0.15286918
office1_0_41_aout,0.1569697,0.3428702
office1_960_41_bout,0.5172727,0.16495004
office1_660_41_aout,0.3251515,0.17207491
office1_660_205_aout,0.35848483,0.13821645
office1_960_0,0.5530303,0.11657015
office1_660_123_aout,0.3918182,0.14614049
office1_660_82_aout,0.3769697,0.12055827
office1_0_164_aout,0.1560606,0.37776935
office1_960_246_aout,0.55939394,0.119447865
office1_960_41_aout,0.5009091,0.139196
office1_960_164_bout,0.51272726,0.14020626
office1_660_0,0.38424242,0.14216135
