x,y,z,num_droplets,volume,RoI
0.0,0.0,1.25,1.2,7.035858e-08,0.04582262
0.1,0.0,1.25,0.8,3.053628e-10,0.00020354986
0.2,0.0,1.25,0.6,1.0252064e-10,6.836653e-05
0.3,0.0,1.25,14.6,5.40159e-09,0.0035945773
0.4,0.0,1.25,0.0,0.0,0.0
0.5,0.0,1.25,0.0,0.0,0.0
0.6,0.0,1.25,0.0,0.0,0.0
0.7,0.0,1.25,0.0,0.0,0.0
0.8,0.0,1.25,0.0,0.0,0.0
0.9,0.0,1.25,0.0,0.0,0.0
1.0,0.0,1.25,0.0,0.0,0.0
1.1,0.0,1.25,0.0,0.0,0.0
1.2,0.0,1.25,0.0,0.0,0.0
1.3,0.0,1.25,0.2,3.591888e-11,2.3961067e-05
1.4,0.0,1.25,0.8,2.572185e-08,0.017001688
1.5,0.0,1.25,0.6,1.15086995e-10,7.671118e-05
1.6,0.0,1.25,3.8,3.287787e-08,0.021680117
1.7,0.0,1.25,2.8,5.1618418e-08,0.033826888
1.8,0.0,1.25,2.2,4.830966e-09,0.0032154918
1.9,0.0,1.25,1.2,2.678448e-10,0.00017857552
2.0,0.0,1.25,0.0,0.0,0.0
2.1,0.0,1.25,0.0,0.0,0.0
2.2,0.0,1.25,0.0,0.0,0.0
2.3,0.0,1.25,0.0,0.0,0.0
2.4,0.0,1.25,0.0,0.0,0.0
2.5,0.0,1.25,0.0,0.0,0.0
2.6,0.0,1.25,0.0,0.0,0.0
2.7,0.0,1.25,0.0,0.0,0.0
2.8,0.0,1.25,0.0,0.0,0.0
2.9,0.0,1.25,0.0,0.0,0.0
3.0,0.0,1.25,0.0,0.0,0.0
3.1,0.0,1.25,0.0,0.0,0.0
3.2,0.0,1.25,0.0,0.0,0.0
3.3,0.0,1.25,0.0,0.0,0.0
3.4,0.0,1.25,0.0,0.0,0.0
3.5,0.0,1.25,0.0,0.0,0.0
3.6,0.0,1.25,0.2,1.3089969e-11,8.702278e-06
3.7,0.0,1.25,0.0,0.0,0.0
3.8,0.0,1.25,1.2,7.326586e-10,0.00048834085
3.9,0.0,1.25,0.6,6.506632e-10,0.0004336834
4.0,0.0,1.25,0.0,0.0,0.0
4.1,0.0,1.25,0.0,0.0,0.0
4.2,0.0,1.25,0.0,0.0,0.0
4.3,0.0,1.25,0.0,0.0,0.0
4.4,0.0,1.25,0.0,0.0,0.0
4.5,0.0,1.25,0.0,0.0,0.0
4.6,0.0,1.25,0.2,2.827434e-12,1.9073486e-06
4.7,0.0,1.25,0.0,0.0,0.0
4.8,0.0,1.25,0.0,0.0,0.0
