case_name,diffusivity,RoI
office2_960_164_aout,0.45060605,0.13618222
office2_960_82_bout,0.49878788,0.13290833
office2_960_246_bout,0.5039394,0.17554858
office2_660_164_bout,0.32787877,0.18437444
office2_0_164_bout,0.16333333,0.3047682
office2_0_82_aout,0.15636364,0.35886133
office2_960_82_aout,0.46272728,0.14050709
office2_0_246_bout,0.1760606,0.3423636
office2_0_0,0.15515152,0.3333957
office2_0_82_bout,0.14,0.3837527
office2_660_246_bout,0.36939394,0.14140886
office2_0_246_aout,0.15666667,0.33514485
office2_660_164_aout,0.34848484,0.1929805
office2_360_82_aout,0.2390909,0.17381616
office2_660_246_aout,0.37939394,0.17746522
office2_660_82_bout,0.34575757,0.16119663
office2_360_164_aout,0.24848485,0.19476919
office2_360_0,0.23242424,0.21202473
office2_960_0,0.41666666,0.15847115
office2_660_82_aout,0.3369697,0.173207
office2_0_164_aout,0.14666666,0.36580613
office2_360_246_bout,0.26636365,0.2282264
office2_960_246_aout,0.49333334,0.17530233
office2_960_164_bout,0.45181817,0.16195111
office2_360_246_aout,0.26151514,0.16141194
office2_360_164_bout,0.25787878,0.21279202
office2_660_0,0.34121212,0.17050391
office2_360_82_bout,0.20272727,0.21063703
