x,y,z,num_droplets,volume,RoI
0.0,0.0,1.25,0.0,0.0,0.0
0.1,0.0,1.25,0.0,0.0,0.0
0.2,0.0,1.25,0.0,0.0,0.0
0.3,0.0,1.25,0.0,0.0,0.0
0.4,0.0,1.25,0.0,0.0,0.0
0.5,0.0,1.25,0.0,0.0,0.0
0.6,0.0,1.25,0.0,0.0,0.0
0.7,0.0,1.25,0.0,0.0,0.0
0.8,0.0,1.25,0.0,0.0,0.0
0.9,0.0,1.25,0.0,0.0,0.0
1.0,0.0,1.25,0.0,0.0,0.0
1.1,0.0,1.25,0.0,0.0,0.0
1.2,0.0,1.25,0.0,0.0,0.0
1.3,0.0,1.25,0.0,0.0,0.0
1.4,0.0,1.25,0.0,0.0,0.0
1.5,0.0,1.25,0.0,0.0,0.0
1.6,0.0,1.25,0.0,0.0,0.0
1.7,0.0,1.25,0.6,4.391606e-09,0.002923429
1.8,0.0,1.25,1.0,1.536113e-07,0.09733838
1.9,0.0,1.25,1.6,4.5636867e-10,0.0003042221
2.0,0.0,1.25,5.0,1.2461234e-07,0.079717755
2.1,0.0,1.25,1.6,4.5226107e-09,0.0030105114
2.2,0.0,1.25,0.0,0.0,0.0
2.3,0.0,1.25,0.6,2.2902209e-10,0.0001526475
2.4,0.0,1.25,1.2,3.441091e-10,0.00022935867
2.5,0.0,1.25,1.2,2.2284366e-10,0.00014853477
2.6,0.0,1.25,0.4,3.1808631e-12,2.1457672e-06
2.7,0.0,1.25,1.2,7.0391664e-08,0.04584372
2.8,0.0,1.25,8.8,1.068359e-07,0.068746686
2.9,0.0,1.25,8.4,5.872273e-08,0.038392067
3.0,0.0,1.25,0.4,1.1225958e-10,7.4863434e-05
3.1,0.0,1.25,0.0,0.0,0.0
3.2,0.0,1.25,0.0,0.0,0.0
3.3,0.0,1.25,0.0,0.0,0.0
3.4,0.0,1.25,0.0,0.0,0.0
3.5,0.0,1.25,0.0,0.0,0.0
3.6,0.0,1.25,0.0,0.0,0.0
3.7,0.0,1.25,0.8,1.8409732e-10,0.00012272596
3.8,0.0,1.25,1.0,2.5808461e-08,0.017058492
3.9,0.0,1.25,2.0,2.7159611e-08,0.017943442
4.0,0.0,1.25,1.2,2.0459405e-10,0.00013637543
4.1,0.0,1.25,0.2,7.63407e-14,5.9604645e-08
4.2,0.0,1.25,0.0,0.0,0.0
4.3,0.0,1.25,0.0,0.0,0.0
4.4,0.0,1.25,0.2,3.591888e-11,2.3961067e-05
4.5,0.0,1.25,0.4,1.1225958e-10,7.4863434e-05
4.6,0.0,1.25,0.4,7.669413e-11,5.1140785e-05
4.7,0.0,1.25,0.8,2.3184961e-10,0.00015455484
4.8,0.0,1.25,0.0,0.0,0.0
4.9,0.0,1.25,0.0,0.0,0.0
5.0,0.0,1.25,0.0,0.0,0.0
5.1,0.0,1.25,0.0,0.0,0.0
5.2,0.0,1.25,0.4,5.6130883e-10,0.00037413836
5.3,0.0,1.25,0.0,0.0,0.0
5.4,0.0,1.25,0.0,0.0,0.0
5.5,0.0,1.25,0.0,0.0,0.0
5.6,0.0,1.25,0.0,0.0,0.0
5.7,0.0,1.25,0.0,0.0,0.0
5.8,0.0,1.25,0.0,0.0,0.0
5.9,0.0,1.25,0.0,0.0,0.0
6.0,0.0,1.25,0.0,0.0,0.0
6.1,0.0,1.25,0.0,0.0,0.0
6.2,0.0,1.25,0.0,0.0,0.0
6.3,0.0,1.25,0.0,0.0,0.0
6.4,0.0,1.25,0.0,0.0,0.0
6.5,0.0,1.25,0.0,0.0,0.0
6.6,0.0,1.25,0.0,0.0,0.0
6.7,0.0,1.25,0.0,0.0,0.0
6.8,0.0,1.25,0.0,0.0,0.0
6.9,0.0,1.25,0.0,0.0,0.0
7.0,0.0,1.25,0.2,1.3089969e-11,8.702278e-06
7.1,0.0,1.25,0.0,0.0,0.0
7.2,0.0,1.25,0.0,0.0,0.0
7.3,0.0,1.25,0.0,0.0,0.0
7.4,0.0,1.25,0.0,0.0,0.0
7.5,0.0,1.25,0.0,0.0,0.0
7.6,0.0,1.25,0.0,0.0,0.0
7.7,0.0,1.25,0.0,0.0,0.0
7.8,0.0,1.25,0.0,0.0,0.0
7.9,0.0,1.25,0.0,0.0,0.0
8.0,0.0,1.25,0.0,0.0,0.0
8.1,0.0,1.25,0.0,0.0,0.0
8.2,0.0,1.25,0.0,0.0,0.0
8.3,0.0,1.25,0.0,0.0,0.0
8.4,0.0,1.25,0.0,0.0,0.0
8.5,0.0,1.25,0.0,0.0,0.0
8.6,0.0,1.25,0.0,0.0,0.0
8.7,0.0,1.25,0.0,0.0,0.0
8.8,0.0,1.25,0.0,0.0,0.0
8.9,0.0,1.25,0.0,0.0,0.0
0.0,0.1,1.25,0.0,0.0,0.0
0.1,0.1,1.25,0.0,0.0,0.0
0.2,0.1,1.25,0.0,0.0,0.0
0.3,0.1,1.25,0.0,0.0,0.0
0.4,0.1,1.25,0.0,0.0,0.0
0.5,0.1,1.25,0.0,0.0,0.0
0.6,0.1,1.25,0.0,0.0,0.0
0.7,0.1,1.25,0.0,0.0,0.0
0.8,0.1,1.25,0.0,0.0,0.0
0.9,0.1,1.25,0.0,0.0,0.0
1.0,0.1,1.25,0.0,0.0,0.0
1.1,0.1,1.25,0.0,0.0,0.0
1.2,0.1,1.25,0.0,0.0,0.0
1.3,0.1,1.25,0.0,0.0,0.0
1.4,0.1,1.25,0.0,0.0,0.0
1.5,0.1,1.25,0.0,0.0,0.0
1.6,0.1,1.25,0.6,2.2901039e-09,0.0015255809
1.7,0.1,1.25,4.2,1.2463975e-07,0.07973462
1.8,0.1,1.25,1.4,5.129404e-08,0.033617973
1.9,0.1,1.25,2.4,2.6210259e-08,0.017321706
2.0,0.1,1.25,13.8,2.3314892e-07,0.14395523
2.1,0.1,1.25,13.2,2.699875e-07,0.16472286
2.2,0.1,1.25,3.4,9.849136e-08,0.063551664
2.3,0.1,1.25,5.4,5.8717557e-08,0.03838879
2.4,0.1,1.25,1.0,2.583128e-08,0.017073393
2.5,0.1,1.25,0.8,2.6494096e-10,0.00017660856
2.6,0.1,1.25,1.0,4.200352e-11,2.8014183e-05
2.7,0.1,1.25,0.0,0.0,0.0
2.8,0.1,1.25,1.8,2.6421884e-10,0.00017613173
2.9,0.1,1.25,0.2,3.591888e-11,2.3961067e-05
3.0,0.1,1.25,0.0,0.0,0.0
3.1,0.1,1.25,0.0,0.0,0.0
3.2,0.1,1.25,0.0,0.0,0.0
3.3,0.1,1.25,0.0,0.0,0.0
3.4,0.1,1.25,0.0,0.0,0.0
3.5,0.1,1.25,0.4,8.943067e-11,5.9604645e-05
3.6,0.1,1.25,0.4,1.1225958e-10,7.4863434e-05
3.7,0.1,1.25,0.2,7.63407e-11,5.0902367e-05
