case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,count_sum,count_timeMean
office2_0_0,office2,0.0,0.0,off,6739.4,204.2242424242424,542230.0,902.2129783693844
office2_0_164_aout,office2,0.0,164.0,a,7865.4,238.3454545454545,357158.0,594.2728785357737
office2_0_164_bout,office2,0.0,164.0,b,6049.8,183.3272727272728,260040.0,432.67886855241267
office2_0_246_aout,office2,0.0,246.0,a,7934.4,240.43636363636364,196341.6,326.6915141430949
office2_0_246_bout,office2,0.0,246.0,b,7662.0,232.1818181818182,338083.8,562.5354409317804
office2_0_82_aout,office2,0.0,82.0,a,7225.2,218.9454545454545,499978.6,831.9111480865224
office2_0_82_bout,office2,0.0,82.0,b,7594.6,230.1393939393939,406863.4,676.977371048253
office2_360_0,office2,360.0,0.0,off,7361.8,223.0848484848485,82666.4,137.54808652246254
office2_360_164_aout,office2,360.0,164.0,a,6657.6,201.7454545454545,103670.2,172.49617304492511
office2_360_164_bout,office2,360.0,164.0,b,6021.0,182.45454545454547,239280.6,398.13743760399336
office2_360_246_aout,office2,360.0,246.0,a,6624.0,200.72727272727275,89630.2,149.1351081530782
office2_360_246_bout,office2,360.0,246.0,b,7619.0,230.8787878787879,233358.6,388.2838602329451
office2_360_82_aout,office2,360.0,82.0,a,5027.6,152.35151515151514,55429.4,92.22861896838603
office2_360_82_bout,office2,360.0,82.0,b,7356.6,222.9272727272727,76901.2,127.95540765391014
office2_660_0,office2,660.0,0.0,off,6954.2,210.7333333333333,198158.8,329.7151414309484
office2_660_164_aout,office2,660.0,164.0,a,7343.2,222.52121212121216,353883.6,588.8246256239601
office2_660_164_bout,office2,660.0,164.0,b,4468.4,135.40606060606063,168199.8,279.8665557404326
office2_660_246_aout,office2,660.0,246.0,a,7815.4,236.830303030303,226643.2,377.110149750416
office2_660_246_bout,office2,660.0,246.0,b,5795.6,175.62424242424242,206934.4,344.3168053244592
office2_660_82_aout,office2,660.0,82.0,a,7009.0,212.3939393939394,281426.2,468.263227953411
office2_660_82_bout,office2,660.0,82.0,b,6693.2,202.8242424242424,227995.0,379.3594009983361
office2_960_0,office2,960.0,0.0,off,7525.4,228.04242424242423,267261.8,444.6951747088186
office2_960_164_aout,office2,960.0,164.0,a,6564.0,198.9090909090909,177257.8,294.93810316139763
office2_960_164_bout,office2,960.0,164.0,b,6232.4,188.86060606060605,272131.0,452.7970049916805
office2_960_246_aout,office2,960.0,246.0,a,7157.0,216.87878787878785,325807.8,542.1094841930117
office2_960_246_bout,office2,960.0,246.0,b,7404.6,224.3818181818182,221755.8,368.9780366056572
office2_960_82_aout,office2,960.0,82.0,a,6880.0,208.4848484848485,147662.4,245.6945091514143
office2_960_82_bout,office2,960.0,82.0,b,7262.8,220.0848484848485,108728.2,180.91214642262895
office15_0_0,office15,0.0,0.0,off,5379.2,128.07619047619045,326291.8,542.9148086522463
office15_0_164_aout,office15,0.0,164.0,a,6066.0,144.42857142857142,378567.2,629.8955074875208
office15_0_164_bout,office15,0.0,164.0,b,6267.2,149.2190476190476,309992.6,515.7946755407653
office15_0_246_aout,office15,0.0,246.0,a,7157.6,170.4190476190476,462859.4,770.1487520798669
office15_0_246_bout,office15,0.0,246.0,b,5739.2,136.64761904761903,305636.4,508.5464226289518
office15_0_82_aout,office15,0.0,82.0,a,6140.6,146.20476190476194,349545.6,581.6066555740432
office15_0_82_bout,office15,0.0,82.0,b,5641.2,134.31428571428577,234580.4,390.3168053244592
office15_360_0,office15,360.0,0.0,off,5276.8,125.63809523809525,228466.6,380.1440931780366
office15_360_164_aout,office15,360.0,164.0,a,6031.4,143.60476190476192,134092.6,223.11580698835274
office15_360_164_bout,office15,360.0,164.0,b,5009.2,119.26666666666664,248999.8,414.30915141430944
office15_360_246_aout,office15,360.0,246.0,a,6041.8,143.85238095238094,285218.0,474.5723793677205
office15_360_246_bout,office15,360.0,246.0,b,5426.2,129.1952380952381,277191.4,461.2169717138104
office15_360_82_aout,office15,360.0,82.0,a,6442.2,153.38571428571427,59917.4,99.69617304492513
office15_360_82_bout,office15,360.0,82.0,b,5216.0,124.1904761904762,127555.8,212.23926788685526
office15_660_0,office15,660.0,0.0,off,6233.6,148.4190476190476,184094.4,306.3134775374376
office15_660_164_aout,office15,660.0,164.0,a,6647.6,158.27619047619046,230796.4,384.0206322795341
office15_660_164_bout,office15,660.0,164.0,b,5726.2,136.33809523809526,226776.8,377.33244592346085
office15_660_246_aout,office15,660.0,246.0,a,6464.0,153.90476190476193,134420.2,223.66089850249585
office15_660_246_bout,office15,660.0,246.0,b,6285.6,149.65714285714284,266061.0,442.69717138103164
