case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office2_0_0,office2,0.0,0.0,off,6739.4,204.2242424242424,902.2129783693844,3665.252246256239
office2_0_164_aout,office2,0.0,164.0,a,7865.4,238.3454545454545,594.2728785357737,3491.917803660566
office2_0_164_bout,office2,0.0,164.0,b,6049.8,183.3272727272728,432.67886855241267,2354.7377703826955
office2_0_246_aout,office2,0.0,246.0,a,7934.4,240.43636363636364,326.6915141430949,2902.4805324459235
office2_0_246_bout,office2,0.0,246.0,b,7662.0,232.1818181818182,562.5354409317804,2757.1777038269547
office2_0_82_aout,office2,0.0,82.0,a,7225.2,218.9454545454545,831.9111480865224,4003.190349417637
office2_0_82_bout,office2,0.0,82.0,b,7594.6,230.1393939393939,676.977371048253,3044.08618968386
office2_360_0,office2,360.0,0.0,off,7361.8,223.0848484848485,137.54808652246254,1172.9687188019966
office2_360_164_aout,office2,360.0,164.0,a,6657.6,201.7454545454545,172.49617304492511,1508.189683860233
office2_360_164_bout,office2,360.0,164.0,b,6021.0,182.45454545454547,398.13743760399336,2484.6801996672216
office2_360_246_aout,office2,360.0,246.0,a,6624.0,200.72727272727275,149.1351081530782,1377.144758735441
office2_360_246_bout,office2,360.0,246.0,b,7619.0,230.8787878787879,388.2838602329451,2191.924126455907
office2_360_82_aout,office2,360.0,82.0,a,5027.6,152.35151515151514,92.22861896838603,1382.4489184692181
office2_360_82_bout,office2,360.0,82.0,b,7356.6,222.9272727272727,127.95540765391014,1892.9397670549085
office2_660_0,office2,660.0,0.0,off,6954.2,210.7333333333333,329.7151414309484,1982.3517470881861
office2_660_164_aout,office2,660.0,164.0,a,7343.2,222.52121212121216,588.8246256239601,2500.7464226289517
office2_660_164_bout,office2,660.0,164.0,b,4468.4,135.40606060606063,279.8665557404326,1503.0193011647254
office2_660_246_aout,office2,660.0,246.0,a,7815.4,236.830303030303,377.110149750416,2795.3643926788686
office2_660_246_bout,office2,660.0,246.0,b,5795.6,175.62424242424242,344.3168053244592,1817.128452579035
office2_660_82_aout,office2,660.0,82.0,a,7009.0,212.3939393939394,468.263227953411,2379.1783693843595
office2_660_82_bout,office2,660.0,82.0,b,6693.2,202.8242424242424,379.3594009983361,2061.518801996672
office2_960_0,office2,960.0,0.0,off,7525.4,228.04242424242423,444.6951747088186,1969.271214642263
office2_960_164_aout,office2,960.0,164.0,a,6564.0,198.9090909090909,294.93810316139763,2495.713477537438
office2_960_164_bout,office2,960.0,164.0,b,6232.4,188.86060606060605,452.7970049916805,2049.8785357737106
office2_960_246_aout,office2,960.0,246.0,a,7157.0,216.87878787878785,542.1094841930117,2203.7361064891847
office2_960_246_bout,office2,960.0,246.0,b,7404.6,224.3818181818182,368.9780366056572,1970.4868552412647
office2_960_82_aout,office2,960.0,82.0,a,6880.0,208.4848484848485,245.6945091514143,1557.1314475873544
office2_960_82_bout,office2,960.0,82.0,b,7262.8,220.0848484848485,180.91214642262895,1489.5540765391015
office15_0_0,office15,0.0,0.0,off,5379.2,128.07619047619045,542.9148086522463,2409.8439267886856
office15_0_164_aout,office15,0.0,164.0,a,6066.0,144.42857142857142,629.8955074875208,3432.8602329450914
office15_0_164_bout,office15,0.0,164.0,b,6267.2,149.2190476190476,515.7946755407653,2767.993344425957
office15_0_246_aout,office15,0.0,246.0,a,7157.6,170.4190476190476,770.1487520798669,4041.6742096505827
office15_0_246_bout,office15,0.0,246.0,b,5739.2,136.64761904761903,508.5464226289518,2562.1254575707158
office15_0_82_aout,office15,0.0,82.0,a,6140.6,146.20476190476194,581.6066555740432,2836.613976705491
office15_0_82_bout,office15,0.0,82.0,b,5641.2,134.31428571428577,390.3168053244592,2222.316139767055
office15_360_0,office15,360.0,0.0,off,5276.8,125.63809523809525,380.1440931780366,1861.0306156405989
office15_360_164_aout,office15,360.0,164.0,a,6031.4,143.60476190476192,223.11580698835274,1644.6179700499167
office15_360_164_bout,office15,360.0,164.0,b,5009.2,119.26666666666664,414.30915141430944,1893.1990016638936
office15_360_246_aout,office15,360.0,246.0,a,6041.8,143.85238095238094,474.5723793677205,2136.144425956739
office15_360_246_bout,office15,360.0,246.0,b,5426.2,129.1952380952381,461.2169717138104,1910.5331114808655
office15_360_82_aout,office15,360.0,82.0,a,6442.2,153.38571428571427,99.69617304492513,1324.9540765391016
office15_360_82_bout,office15,360.0,82.0,b,5216.0,124.1904761904762,212.23926788685526,1561.1663893510815
office15_660_0,office15,660.0,0.0,off,6233.6,148.4190476190476,306.3134775374376,1761.8006655574043
office15_660_164_aout,office15,660.0,164.0,a,6647.6,158.27619047619046,384.0206322795341,1874.799667221298
office15_660_164_bout,office15,660.0,164.0,b,5726.2,136.33809523809526,377.33244592346085,1768.818635607321
office15_660_246_aout,office15,660.0,246.0,a,6464.0,153.90476190476193,223.66089850249585,1568.7677204658903
office15_660_246_bout,office15,660.0,246.0,b,6285.6,149.65714285714284,442.69717138103164,1594.5307820299502
office15_660_82_aout,office15,660.0,82.0,a,6169.4,146.8904761904762,416.84559068219636,1912.8991680532445
office15_660_82_bout,office15,660.0,82.0,b,6186.2,147.2904761904762,322.091846921797,1764.165058236273
office15_960_0,office15,960.0,0.0,off,6298.4,149.96190476190478,305.9291181364393,1423.4732113144757
office15_960_164_aout,office15,960.0,164.0,a,6450.0,153.57142857142858,326.62795341098166,1488.8705490848586
office15_960_164_bout,office15,960.0,164.0,b,6516.0,155.14285714285717,333.9004991680533,1524.1943427620633
office15_960_246_aout,office15,960.0,246.0,a,7014.6,167.0142857142857,396.3594009983361,1535.002662229617
office15_960_246_bout,office15,960.0,246.0,b,6415.0,152.73809523809524,302.9440931780366,1522.1038269550752
office15_960_82_aout,office15,960.0,82.0,a,6197.8,147.56666666666666,304.598003327787,1378.3341098169717
office15_960_82_bout,office15,960.0,82.0,b,6542.8,155.7809523809524,291.60299500831945,1473.7504159733778
office14_0_0,office14,0.0,0.0,off,5952.8,141.73333333333332,439.1630615640599,2248.1114808652246
office14_0_164_aout,office14,0.0,164.0,a,6164.8,146.7809523809524,502.06755407653907,2443.4502495840266
office14_0_164_bout,office14,0.0,164.0,b,5711.8,135.9952380952381,422.6652246256239,2241.1021630615637
office14_0_246_aout,office14,0.0,246.0,a,5319.6,126.65714285714284,564.9014975041597,2141.105823627288
office14_0_246_bout,office14,0.0,246.0,b,6165.2,146.7904761904762,881.4562396006655,3150.5111480865226
office14_0_82_aout,office14,0.0,82.0,a,6314.4,150.34285714285716,417.60665557404326,2599.485856905158
office14_0_82_bout,office14,0.0,82.0,b,6915.0,164.64285714285717,539.3570715474209,3010.5008319467556
office14_360_0,office14,360.0,0.0,off,6720.4,160.0095238095238,317.6642262895175,1650.6615640599002
office14_360_164_aout,office14,360.0,164.0,a,6704.0,159.61904761904762,245.49184692179702,1976.440599001664
office14_360_164_bout,office14,360.0,164.0,b,5027.8,119.7095238095238,423.2728785357737,1588.0316139767056
office14_360_246_aout,office14,360.0,246.0,a,6186.6,147.3,207.52379367720465,1678.2113144758735
office14_360_246_bout,office14,360.0,246.0,b,6709.8,159.75714285714284,448.9787021630616,1901.6046589018301
office14_360_82_aout,office14,360.0,82.0,a,6240.0,148.57142857142858,259.04792013311146,1921.2249584026622
office14_360_82_bout,office14,360.0,82.0,b,6246.2,148.7190476190476,458.500166389351,1989.8885191347754
office14_660_0,office14,660.0,0.0,off,6421.0,152.88095238095238,218.02828618968385,1540.7620632279534
office14_660_164_aout,office14,660.0,164.0,a,5891.8,140.2809523809524,189.05790349417637,1197.8422628951746
office14_660_164_bout,office14,660.0,164.0,b,5812.2,138.3857142857143,216.7900166389351,1376.5410981697173
office14_660_246_aout,office14,660.0,246.0,a,5547.8,132.09047619047618,401.15806988352745,1642.3544093178036
office14_660_246_bout,office14,660.0,246.0,b,6053.6,144.13333333333333,209.07088186356074,1256.142762063228
office14_660_82_aout,office14,660.0,82.0,a,6080.4,144.77142857142854,221.54742096505822,1413.702163061564
office14_660_82_bout,office14,660.0,82.0,b,5466.8,130.16190476190476,235.78968386023294,1322.889517470882
office14_960_0,office14,960.0,0.0,off,6456.6,153.72857142857143,291.0096505823627,1540.4455906821963
office14_960_164_aout,office14,960.0,164.0,a,5238.0,124.71428571428572,189.57603993344426,1106.8658901830281
office14_960_164_bout,office14,960.0,164.0,b,5670.8,135.01904761904763,224.28552412645593,1213.1151414309486
office14_960_246_aout,office14,960.0,246.0,a,6409.4,152.6047619047619,317.7956738768719,1642.5434276206322
office14_960_246_bout,office14,960.0,246.0,b,6471.8,154.09047619047618,254.03826955074877,1384.6638935108153
office14_960_82_aout,office14,960.0,82.0,a,5118.4,121.86666666666667,136.04392678868552,1137.3048252911813
office14_960_82_bout,office14,960.0,82.0,b,6645.2,158.2190476190476,257.5457570715474,1550.5510815307819
office1_0_0,office1,0.0,0.0,off,7337.2,222.339393939394,402.7134775374376,3034.173710482529
office1_0_123_aout,office1,0.0,123.0,a,7207.2,218.4,530.467554076539,2686.2938435940096
office1_0_123_bout,office1,0.0,123.0,b,6642.8,201.2969696969697,677.8382695507487,2981.8519134775374
office1_0_164_aout,office1,0.0,164.0,a,7249.8,219.6909090909091,410.26555740432616,2503.4116472545757
office1_0_164_bout,office1,0.0,164.0,b,7328.0,222.0606060606061,582.4459234608985,3309.4282861896836
office1_0_205_aout,office1,0.0,205.0,a,7809.8,236.66060606060609,484.69417637271215,2802.586356073211
office1_0_205_bout,office1,0.0,205.0,b,7306.4,221.40606060606063,444.55873544093174,2896.788352745424
office1_0_246_aout,office1,0.0,246.0,a,7282.8,220.69090909090903,575.4369384359401,2982.5803660565725
office1_0_246_bout,office1,0.0,246.0,b,6995.8,211.9939393939394,782.5004991680532,4025.875540765391
office1_0_41_aout,office1,0.0,41.0,a,7484.0,226.7878787878788,515.1647254575707,2740.602329450915
office1_0_41_bout,office1,0.0,41.0,b,7420.4,224.86060606060605,660.0995008319468,3525.3424292845257
office1_0_82_aout,office1,0.0,82.0,a,6227.6,188.71515151515152,479.0256239600666,2599.4229617304495
office1_0_82_bout,office1,0.0,82.0,b,6997.0,212.03030303030303,433.38868552412646,3308.2941763727126
