case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand,countTimeMean_exceptDesk,countTimeMean_onlyFloating
office1_0_0,office1,0.0,0.0,off,7337.2,222.339393939394,402.7134775374376,3034.173710482529,2391.085333333333,2991.4056666666665
office1_0_123_aout,office1,0.0,123.0,a,7207.2,218.4,530.467554076539,2686.2938435940096,2246.7490000000003,2656.9823333333334
office1_0_123_bout,office1,0.0,123.0,b,6642.8,201.2969696969697,677.8382695507487,2981.851913477537,2496.447333333333,2951.1446666666666
office1_0_164_aout,office1,0.0,164.0,a,7249.8,219.6909090909091,410.26555740432616,2503.411647254576,2013.792333333333,2470.3956666666663
office1_0_164_bout,office1,0.0,164.0,b,7328.0,222.0606060606061,582.4459234608985,3309.428286189684,2912.4896666666664,3271.053
office1_0_205_aout,office1,0.0,205.0,a,7809.8,236.66060606060609,484.69417637271215,2802.586356073211,1749.572666666667,2765.951666666667
office1_0_205_bout,office1,0.0,205.0,b,7306.4,221.40606060606063,444.5587354409317,2896.788352745424,2424.623333333333,2860.1103333333335
office1_0_246_aout,office1,0.0,246.0,a,7282.8,220.69090909090903,575.4369384359401,2982.5803660565725,2528.142333333333,2945.272
office1_0_246_bout,office1,0.0,246.0,b,6995.8,211.9939393939394,782.5004991680532,4025.875540765391,3242.257,3991.145333333333
office1_0_41_aout,office1,0.0,41.0,a,7484.0,226.7878787878788,515.1647254575707,2740.602329450915,2420.7716666666665,2694.742666666667
office1_0_41_bout,office1,0.0,41.0,b,7420.4,224.86060606060605,660.0995008319468,3525.3424292845257,3031.739333333333,3485.744666666667
office1_0_82_aout,office1,0.0,82.0,a,6227.6,188.71515151515152,479.0256239600666,2599.422961730449,2300.4460000000004,2558.0060000000003
office1_0_82_bout,office1,0.0,82.0,b,6997.0,212.03030303030303,433.38868552412646,3308.2941763727126,2832.250333333334,3267.572
office1_660_0,office1,660.0,0.0,off,5771.0,174.87878787878788,144.4026622296173,1146.7207986688852,789.9563333333334,1118.311
office1_660_123_aout,office1,660.0,123.0,a,5253.4,159.1939393939394,313.367387687188,1462.581364392679,1004.047,1426.0983333333334
office1_660_123_bout,office1,660.0,123.0,b,6213.2,188.27878787878788,252.4029950083195,1336.7351081530785,1075.9833333333331,1302.448666666667
office1_660_164_aout,office1,660.0,164.0,a,5221.6,158.23030303030302,106.1630615640599,1087.924792013311,778.3196666666665,1059.0410000000002
office1_660_164_bout,office1,660.0,164.0,b,5593.8,169.5090909090909,162.39434276206322,1087.3231281198002,779.2496666666667,1060.2283333333332
office1_660_205_aout,office1,660.0,205.0,a,6176.8,187.1757575757576,89.86522462562397,1082.8542429284523,843.8463333333334,1055.7836666666667
office1_660_205_bout,office1,660.0,205.0,b,5804.8,175.9030303030303,195.7557404326123,1379.5051580698837,1116.4496666666666,1344.082666666667
office1_660_246_aout,office1,660.0,246.0,a,5693.4,172.52727272727273,409.7657237936773,1820.8672212978367,1188.8933333333334,1779.2926666666667
