case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_0,office1,0.0,0.0,off,2991.4056666666665
office1_0_123_aout,office1,0.0,123.0,a,2656.9823333333334
office1_0_123_bout,office1,0.0,123.0,b,2951.1446666666666
office1_0_164_aout,office1,0.0,164.0,a,2470.3956666666663
office1_0_164_bout,office1,0.0,164.0,b,3271.053
office1_0_205_aout,office1,0.0,205.0,a,2765.951666666667
office1_0_205_bout,office1,0.0,205.0,b,2860.1103333333335
office1_0_246_aout,office1,0.0,246.0,a,2945.272
office1_0_246_bout,office1,0.0,246.0,b,3991.145333333333
office1_0_41_aout,office1,0.0,41.0,a,2694.742666666667
office1_0_41_bout,office1,0.0,41.0,b,3485.744666666667
office1_0_82_aout,office1,0.0,82.0,a,2558.0060000000003
office1_0_82_bout,office1,0.0,82.0,b,3267.572
office1_660_0,office1,660.0,0.0,off,1118.311
office1_660_123_aout,office1,660.0,123.0,a,1426.0983333333334
office1_660_123_bout,office1,660.0,123.0,b,1302.448666666667
office1_660_164_aout,office1,660.0,164.0,a,1059.0410000000002
office1_660_164_bout,office1,660.0,164.0,b,1060.2283333333332
office1_660_205_aout,office1,660.0,205.0,a,1055.7836666666667
office1_660_205_bout,office1,660.0,205.0,b,1344.082666666667
office1_660_246_aout,office1,660.0,246.0,a,1779.2926666666667
office1_660_246_bout,office1,660.0,246.0,b,1018.159
office1_660_41_aout,office1,660.0,41.0,a,1829.266
office1_660_41_bout,office1,660.0,41.0,b,1016.0403333333335
office1_660_82_aout,office1,660.0,82.0,a,910.3236666666668
office1_660_82_bout,office1,660.0,82.0,b,1738.5343333333333
office1_960_0,office1,960.0,0.0,off,1594.1943333333336
office1_960_123_aout,office1,960.0,123.0,a,1574.6506666666667
office1_960_123_bout,office1,960.0,123.0,b,1546.8986666666665
office1_960_164_aout,office1,960.0,164.0,a,999.284
office1_960_164_bout,office1,960.0,164.0,b,1139.5553333333335
office1_960_205_aout,office1,960.0,205.0,a,1416.1323333333335
office1_960_205_bout,office1,960.0,205.0,b,1175.4756666666667
office1_960_246_aout,office1,960.0,246.0,a,1351.4506666666666
office1_960_246_bout,office1,960.0,246.0,b,1748.890666666667
office1_960_41_aout,office1,960.0,41.0,a,1033.294
office1_960_41_bout,office1,960.0,41.0,b,1788.2726666666667
office1_960_82_aout,office1,960.0,82.0,a,1263.9489999999998
office1_960_82_bout,office1,960.0,82.0,b,2439.936333333333
office2_0_0,office2,0.0,0.0,off,3629.143666666667
office2_0_164_aout,office2,0.0,164.0,a,3452.98
office2_0_164_bout,office2,0.0,164.0,b,2322.2413333333334
office2_0_246_aout,office2,0.0,246.0,a,2855.4666666666667
office2_0_246_bout,office2,0.0,246.0,b,2692.1233333333334
office2_0_82_aout,office2,0.0,82.0,a,3965.822666666667
office2_0_82_bout,office2,0.0,82.0,b,3006.3646666666664
office2_360_0,office2,360.0,0.0,off,1126.9966666666667
office2_360_164_aout,office2,360.0,164.0,a,1476.4036666666666
office2_360_164_bout,office2,360.0,164.0,b,2446.215333333333
office2_360_246_aout,office2,360.0,246.0,a,1345.2973333333332
office2_360_246_bout,office2,360.0,246.0,b,2146.8643333333334
office2_360_82_aout,office2,360.0,82.0,a,1349.8903333333333
office2_360_82_bout,office2,360.0,82.0,b,1857.7096666666666
office2_660_0,office2,660.0,0.0,off,1933.7216666666666
office2_660_164_aout,office2,660.0,164.0,a,2457.9546666666665
office2_660_164_bout,office2,660.0,164.0,b,1476.6066666666666
office2_660_246_aout,office2,660.0,246.0,a,2751.859
office2_660_246_bout,office2,660.0,246.0,b,1773.7783333333334
office2_660_82_aout,office2,660.0,82.0,a,2314.0156666666667
office2_660_82_bout,office2,660.0,82.0,b,1999.0116666666668
office2_960_0,office2,960.0,0.0,off,1897.7483333333332
office2_960_164_aout,office2,960.0,164.0,a,2461.4519999999998
office2_960_164_bout,office2,960.0,164.0,b,1988.4493333333335
office2_960_246_aout,office2,960.0,246.0,a,2150.0223333333333
office2_960_246_bout,office2,960.0,246.0,b,1884.467666666667
office2_960_82_aout,office2,960.0,82.0,a,1519.3319999999999
office2_960_82_bout,office2,960.0,82.0,b,1447.0839999999998
office3_0_0,office3,0.0,0.0,off,1548.4730000000002
office3_0_164_aout,office3,0.0,164.0,a,1690.697
office3_0_164_bout,office3,0.0,164.0,b,1534.0976666666666
office3_0_246_aout,office3,0.0,246.0,a,1671.6483333333335
office3_0_246_bout,office3,0.0,246.0,b,1550.941
office3_0_82_aout,office3,0.0,82.0,a,1560.422
office3_0_82_bout,office3,0.0,82.0,b,1324.0083333333334
office3_360_0,office3,360.0,0.0,off,2038.7666666666667
office3_360_164_aout,office3,360.0,164.0,a,1582.3543333333334
office3_360_164_bout,office3,360.0,164.0,b,1604.451
office3_360_246_aout,office3,360.0,246.0,a,1496.0216666666668
office3_360_246_bout,office3,360.0,246.0,b,1548.9233333333332
office3_360_82_aout,office3,360.0,82.0,a,1696.9553333333333
office3_360_82_bout,office3,360.0,82.0,b,1418.8826666666666
